accession	kmer_count	file_size_kb
SRR038300	10373064	94968
SRR039632	22712447	207412
SRR1012332	1872235	14080
SRR1024141	6788669	53176
SRR1033463	50837821	461488
SRR1035695	20943475	191416
SRR1047817	26914475	245592
SRR1060774	10013045	91456
SRR1174334	20614269	188412
SRR1193574	16456571	150364
SRR1292581	36958229	338476
SRR1294106	31449167	287344
SRR1303626	17092735	155920
SRR1313077	31573529	287316
SRR1313078	29468199	267704
SRR1313092	23693485	215972
SRR1313097	29308456	267216
SRR1313105	26939757	245748
SRR1313120	28224727	256748
SRR1313154	26555909	241372
SRR1313156	23208852	211528
SRR1313198	25360857	231552
SRR1313216	27141599	247468
SRR1313228	22051116	201508
SRR1519066	29401118	268572
SRR191403	110640	792
SRR191429	160537	1164
SRR191455	165825	1200
SRR191463	136810	992
SRR191480	116972	840
SRR191487	67027	472
SRR191494	79507	568
SRR191527	65412	456
SRR191555	119295	864
SRR191563	215351	1560
SRR191621	420452	3056
SRR191646	3883408	34368
SRR191675	5718936	50200
SRR191693	7106615	62396
SRR191696	2151745	18096
SRR299111	9521971	84424
SRR306849	25712084	234428
SRR353653	23077781	210736
SRR387778	11332361	103624
SRR393767	27327913	249568
SRR403006	19727932	180036
SRR496397	28044129	256016
SRR518951	3282606	25440
SRR518958	2635091	20048
SRR537114	1559217	13912
