study_accession	sample_accession	run_accession	library_layout
PRJEB13831	SAMEA4527599	ERR1713331	PAIRED
PRJEB13831	SAMEA4527600	ERR1713332	PAIRED
PRJEB13831	SAMEA4527601	ERR1713333	PAIRED
PRJEB13831	SAMEA4527602	ERR1713334	PAIRED
PRJEB13831	SAMEA4527603	ERR1713335	PAIRED
PRJEB13831	SAMEA4527604	ERR1713336	PAIRED
PRJEB13831	SAMEA4527605	ERR1713337	PAIRED
PRJEB13831	SAMEA4527606	ERR1713338	PAIRED
PRJEB13831	SAMEA4527607	ERR1713339	PAIRED
PRJEB13831	SAMEA4527608	ERR1713340	PAIRED
PRJEB13831	SAMEA4527609	ERR1713341	PAIRED
PRJEB13831	SAMEA4527610	ERR1713342	PAIRED
PRJEB13831	SAMEA4527611	ERR1713343	PAIRED
PRJEB13831	SAMEA4527612	ERR1713344	PAIRED
PRJEB13831	SAMEA4527613	ERR1713345	PAIRED
PRJEB13831	SAMEA4527614	ERR1713346	PAIRED
PRJEB13831	SAMEA4527615	ERR1713347	PAIRED
PRJEB13831	SAMEA4527616	ERR1713348	PAIRED
PRJEB13831	SAMEA4527617	ERR1713349	PAIRED
PRJEB13831	SAMEA4527618	ERR1713350	PAIRED
PRJEB13831	SAMEA4527619	ERR1713351	PAIRED
PRJEB13831	SAMEA4527620	ERR1713352	PAIRED
PRJEB13831	SAMEA4527621	ERR1713353	PAIRED
PRJEB13831	SAMEA4527622	ERR1713354	PAIRED
PRJEB13831	SAMEA4527623	ERR1713355	PAIRED
PRJEB13831	SAMEA4527624	ERR1713356	PAIRED
PRJEB13831	SAMEA4527625	ERR1713357	PAIRED
PRJEB13831	SAMEA4527626	ERR1713358	PAIRED
PRJEB13831	SAMEA4527627	ERR1713359	PAIRED
PRJEB13831	SAMEA4527628	ERR1713360	PAIRED
PRJEB13831	SAMEA4527629	ERR1713361	PAIRED
PRJEB13831	SAMEA4527630	ERR1713362	PAIRED
PRJEB13831	SAMEA4527631	ERR1713363	PAIRED
PRJEB13831	SAMEA4527632	ERR1713364	PAIRED
PRJEB13831	SAMEA4527633	ERR1713365	PAIRED
PRJEB13831	SAMEA4527634	ERR1713366	PAIRED
PRJEB13831	SAMEA4527635	ERR1713367	PAIRED
PRJEB13831	SAMEA4527636	ERR1713368	PAIRED
PRJEB13831	SAMEA4527637	ERR1713369	PAIRED
PRJEB13831	SAMEA4527638	ERR1713370	PAIRED
PRJEB13831	SAMEA4527639	ERR1713371	PAIRED
PRJEB13831	SAMEA4527640	ERR1713372	PAIRED
PRJEB13831	SAMEA4527641	ERR1713373	PAIRED
PRJEB13831	SAMEA4527642	ERR1713374	PAIRED
PRJEB13831	SAMEA4527643	ERR1713375	PAIRED
PRJEB13831	SAMEA4527644	ERR1713376	PAIRED
PRJEB13831	SAMEA4527645	ERR1713377	PAIRED
PRJEB13831	SAMEA4527646	ERR1713378	PAIRED
PRJEB13831	SAMEA4527647	ERR1713379	PAIRED
PRJEB13831	SAMEA4527648	ERR1713380	PAIRED
PRJEB13831	SAMEA4527649	ERR1713381	PAIRED
PRJEB13831	SAMEA4527650	ERR1713382	PAIRED
PRJEB13831	SAMEA4527651	ERR1713383	PAIRED
PRJEB13831	SAMEA4527652	ERR1713384	PAIRED
PRJEB13831	SAMEA4527653	ERR1713385	PAIRED
PRJEB13831	SAMEA4527654	ERR1713386	PAIRED
PRJEB13831	SAMEA4527655	ERR1713387	PAIRED
PRJEB13831	SAMEA4527656	ERR1713388	PAIRED
PRJEB13831	SAMEA4527657	ERR1713389	PAIRED
PRJEB13831	SAMEA4527658	ERR1713390	PAIRED
PRJEB13831	SAMEA4527659	ERR1713391	PAIRED
PRJEB13831	SAMEA4527660	ERR1713392	PAIRED
PRJEB13831	SAMEA4527661	ERR1713393	PAIRED
PRJEB13831	SAMEA4527662	ERR1713394	PAIRED
PRJEB13831	SAMEA4527663	ERR1713395	PAIRED
PRJEB13831	SAMEA4527664	ERR1713396	PAIRED
PRJEB13831	SAMEA4527665	ERR1713397	PAIRED
PRJEB13831	SAMEA4527666	ERR1713398	PAIRED
PRJEB13831	SAMEA4527667	ERR1713399	PAIRED
PRJEB13831	SAMEA4527668	ERR1713400	PAIRED
PRJEB13831	SAMEA4527669	ERR1713401	PAIRED
PRJEB13831	SAMEA4527670	ERR1713402	PAIRED
PRJEB13831	SAMEA4527671	ERR1713403	PAIRED
PRJEB13831	SAMEA4527672	ERR1713404	PAIRED
PRJEB13831	SAMEA4527673	ERR1713405	PAIRED
PRJEB13831	SAMEA4527674	ERR1713406	PAIRED
PRJEB13831	SAMEA4527675	ERR1713407	PAIRED
PRJEB13831	SAMEA4527676	ERR1713408	PAIRED
PRJEB13831	SAMEA4527677	ERR1713409	PAIRED
PRJEB13831	SAMEA4527678	ERR1713410	PAIRED
PRJEB13831	SAMEA4527679	ERR1713411	PAIRED
PRJEB13831	SAMEA4527599	ERR1725938	PAIRED
PRJEB13831	SAMEA4527600	ERR1725939	PAIRED
PRJEB13831	SAMEA4527600	ERR1725940	PAIRED
PRJEB13831	SAMEA4527601	ERR1725941	PAIRED
PRJEB13831	SAMEA4527601	ERR1725942	PAIRED
PRJEB13831	SAMEA4527601	ERR1725943	PAIRED
PRJEB13831	SAMEA4527601	ERR1725944	PAIRED
PRJEB13831	SAMEA4527602	ERR1725945	PAIRED
PRJEB13831	SAMEA4527602	ERR1725946	PAIRED
PRJEB13831	SAMEA4527603	ERR1725947	PAIRED
PRJEB13831	SAMEA4527603	ERR1725948	PAIRED
PRJEB13831	SAMEA4527604	ERR1725949	PAIRED
PRJEB13831	SAMEA4527605	ERR1725950	PAIRED
PRJEB13831	SAMEA4527605	ERR1725951	PAIRED
PRJEB13831	SAMEA4527606	ERR1725952	PAIRED
PRJEB13831	SAMEA4527606	ERR1725953	PAIRED
PRJEB13831	SAMEA4527607	ERR1725954	PAIRED
PRJEB13831	SAMEA4527608	ERR1725955	PAIRED
PRJEB13831	SAMEA4527608	ERR1725956	PAIRED
PRJEB13831	SAMEA4527608	ERR1725957	PAIRED
PRJEB13831	SAMEA4527608	ERR1725958	PAIRED
PRJEB13831	SAMEA4527609	ERR1725959	PAIRED
PRJEB13831	SAMEA4527609	ERR1725960	PAIRED
PRJEB13831	SAMEA4527611	ERR1725961	PAIRED
PRJEB13831	SAMEA4527611	ERR1725962	PAIRED
PRJEB13831	SAMEA4527611	ERR1725963	PAIRED
PRJEB13831	SAMEA4527611	ERR1725964	PAIRED
PRJEB13831	SAMEA4527613	ERR1725965	PAIRED
PRJEB13831	SAMEA4527615	ERR1725966	PAIRED
PRJEB13831	SAMEA4527616	ERR1725967	PAIRED
PRJEB13831	SAMEA4527616	ERR1725968	PAIRED
PRJEB13831	SAMEA4527622	ERR1725969	PAIRED
PRJEB13831	SAMEA4527622	ERR1725970	PAIRED
PRJEB13831	SAMEA4527622	ERR1725971	PAIRED
PRJEB13831	SAMEA4527622	ERR1725972	PAIRED
PRJEB13831	SAMEA4527624	ERR1725973	PAIRED
PRJEB13831	SAMEA4527625	ERR1725974	PAIRED
PRJEB13831	SAMEA4527625	ERR1725975	PAIRED
PRJEB13831	SAMEA4527628	ERR1725976	PAIRED
PRJEB13831	SAMEA4527628	ERR1725977	PAIRED
PRJEB13831	SAMEA4527630	ERR1725978	PAIRED
PRJEB13831	SAMEA4527631	ERR1725979	PAIRED
PRJEB13831	SAMEA4527631	ERR1725980	PAIRED
PRJEB13831	SAMEA4527632	ERR1725981	PAIRED
PRJEB13831	SAMEA4527633	ERR1725982	PAIRED
PRJEB13831	SAMEA4527634	ERR1725983	PAIRED
PRJEB13831	SAMEA4527634	ERR1725984	PAIRED
PRJEB13831	SAMEA4527637	ERR1725985	PAIRED
PRJEB13831	SAMEA4527637	ERR1725986	PAIRED
PRJEB13831	SAMEA4527641	ERR1725987	PAIRED
PRJEB13831	SAMEA4527642	ERR1725988	PAIRED
PRJEB13831	SAMEA4527642	ERR1725989	PAIRED
PRJEB13831	SAMEA4527643	ERR1725990	PAIRED
PRJEB13831	SAMEA4527643	ERR1725991	PAIRED
PRJEB13831	SAMEA4527644	ERR1725992	PAIRED
PRJEB13831	SAMEA4527644	ERR1725993	PAIRED
PRJEB13831	SAMEA4527645	ERR1725994	PAIRED
PRJEB13831	SAMEA4527645	ERR1725995	PAIRED
PRJEB13831	SAMEA4527646	ERR1725996	PAIRED
PRJEB13831	SAMEA4527647	ERR1725997	PAIRED
PRJEB13831	SAMEA4527647	ERR1725998	PAIRED
PRJEB13831	SAMEA4527648	ERR1725999	PAIRED
PRJEB13831	SAMEA4527651	ERR1726000	PAIRED
PRJEB13831	SAMEA4527655	ERR1726001	PAIRED
PRJEB13831	SAMEA4527656	ERR1726002	PAIRED
PRJEB13831	SAMEA4527657	ERR1726003	PAIRED
PRJEB13831	SAMEA4527658	ERR1726004	PAIRED
PRJEB13831	SAMEA4527660	ERR1726005	PAIRED
PRJEB13831	SAMEA4527660	ERR1726006	PAIRED
PRJEB13831	SAMEA4527661	ERR1726007	PAIRED
PRJEB13831	SAMEA4527661	ERR1726008	PAIRED
PRJEB13831	SAMEA4527663	ERR1726009	PAIRED
PRJEB13831	SAMEA4527666	ERR1726010	PAIRED
PRJEB13831	SAMEA4527666	ERR1726011	PAIRED
PRJEB13831	SAMEA4527667	ERR1726012	PAIRED
PRJEB13831	SAMEA4527667	ERR1726013	PAIRED
PRJEB13831	SAMEA4527667	ERR1726014	PAIRED
PRJEB13831	SAMEA4527667	ERR1726015	PAIRED
PRJEB13831	SAMEA4527669	ERR1726016	PAIRED
PRJEB13831	SAMEA4527669	ERR1726017	PAIRED
PRJEB13831	SAMEA4527670	ERR1726018	PAIRED
PRJEB13831	SAMEA4527670	ERR1726019	PAIRED
PRJEB13831	SAMEA4527671	ERR1726020	PAIRED
