accession	kmer_count	file_size_kb
ERR1713331	8368075	46684
ERR1713332	8356684	46572
ERR1713333	8287333	46240
ERR1713334	8650507	48256
ERR1713335	8550565	47636
ERR1713336	8244959	45948
ERR1713337	8582027	47912
ERR1713339	8391216	46792
ERR1713340	8456882	47184
ERR1713341	8447227	47100
ERR1713342	8601202	47896
ERR1713343	8295452	46176
ERR1713344	8805005	48980
ERR1713345	8660902	48284
ERR1713351	8701313	48472
ERR1713352	8372645	46572
ERR1713353	8601394	48008
ERR1713355	8395889	46784
ERR1713356	8600398	47928
ERR1713358	8584767	47812
ERR1713359	7819761	43628
ERR1713361	8728432	48672
ERR1713362	8742864	48816
ERR1713363	8440903	47080
ERR1713366	7871137	43932
ERR1713371	7898388	43872
ERR1713372	8509007	47372
ERR1713373	8558250	47716
ERR1713374	8052339	44912
ERR1713375	8568740	47760
ERR1713376	8472881	47256
ERR1713378	8656312	48192
ERR1713379	8680119	48396
ERR1713381	8707025	48620
ERR1713382	8536637	47592
ERR1713388	8516857	47488
ERR1713389	8627310	48112
ERR1713391	8712700	48572
ERR1713393	7727933	43124
ERR1713395	8549076	47636
ERR1713396	8703311	48592
ERR1713397	8721304	48616
ERR1713399	8591875	47908
ERR1713400	8277655	46168
ERR1713401	8435260	47072
ERR1713402	8522086	47548
ERR1713403	8411799	46900
ERR1713405	8682703	48408
ERR1713406	8705395	48452
ERR1713409	8465489	47200
