accession	kmer_count	file_size_kb
ERR1144974	2845277	12236
ERR1144975	2847633	12248
ERR1144976	2836832	12200
ERR1144977	2851026	12260
ERR1144978	2854190	12276
ERR3655992	3264643	14024
ERR3655994	3528916	15200
ERR3655996	3368890	14500
ERR3655998	3382800	14552
ERR3656002	3473091	14964
ERR3656004	3095193	13452
ERR3656010	3156501	13716
ERR3656012	3165898	13756
ERR3656013	3172579	13788
ERR3656015	3177015	13808
ERR3656018	3844824	16680
ERR3656019	3686339	15984
SRR10298903	2989170	12992
SRR10298904	2897298	12584
SRR10298905	3160926	13744
SRR10298906	2958161	12856
SRR10298907	3095453	13452
SRR10512964	4906608	21288
SRR10512965	4913507	21320
SRR10512968	4907143	21292
SRR10513325	2189087	9492
SRR10513326	2428131	10532
SRR10513328	2188160	9492
SRR10513363	2133227	9252
SRR10513672	2545225	11044
SRR10519468	1294586	5528
SRR10519469	1344787	5756
SRR10519616	3475681	15084
SRR10519617	3228326	14000
SRR10519619	3529156	15320
SRR10519620	3395445	14728
SRR10519637	3457216	15004
SRR10521982	1364058	5828
SRR10521983	1415360	6048
SRR10521984	1445719	6188
SRR10527348	3177156	13792
SRR10527349	3264235	14176
SRR10527351	3305858	14360
SRR10527352	3413265	14824
SRR10527353	3539100	15372
SRR8088181	2074781	8956
SRR8088182	2051659	8856
SRR8088183	2046298	8828
SRR8088184	2208427	9540
SRR8088185	2077843	8960
